year month d0 d10 d40 d60 d70 d80 d90 dtot
2001 3 4 0 9 5 5 13 13 49
2001 4 2 0 2 1 1 2 7 15
2001 5 1 0 1 0 0 0 0 2
2001 6 1 1 1 1 4 0 2 10
2001 7 0 0 0 1 1 1 1 4
2001 8 0 1 1 0 1 0 0 3
2001 9 0 0 0 0 0 3 1 4
2001 10 0 0 2 2 3 2 4 13
2001 11 2 1 3 6 3 9 4 28
2001 12 0 1 8 1 6 2 8 26
